keyword,intent,funnel,geo,cluster_label,recommended_target,difficulty,priority,serp_notes
endoscopic spine surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | endoscopic-surgery | location,PAGE: /services/minimally-invasive-spine-surgery,High,90,Local Pack + Ads
best spine surgeon hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | surgeon | best,PAGE: /,High,95,Local Pack + Top Lists
neurosurgeon hyderabad,Commercial,BOFU,HYD,HYD | BOFU | NEURO | surgeon | general,PAGE: /,High,90,Broad intent
slip disc surgery cost hyderabad,Transactional,BOFU,HYD,HYD | BOFU | SPINE | cost | slip-disc,NEW: /blog/cost-of-endoscopic-spine-surgery-hyderabad,Med,85,Snippet Opportunity (Price Ranges)
spine surgery cost hyderabad,Transactional,BOFU,HYD,HYD | BOFU | SPINE | cost | general,NEW: /blog/cost-of-endoscopic-spine-surgery-hyderabad,Med,85,Aggregators dominate
minimally invasive spine surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | miss | location,PAGE: /services/minimally-invasive-spine-surgery,Med,80,
spine tumor surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | TUMOR | surgery | location,PAGE: /services/brain-tumor-surgery-hyderabad,Med,75,Niche but high value
sciatica treatment hyderabad,Commercial,MOFU,HYD,HYD | MOFU | SPINE | sciatica | treatment,PAGE: /conditions/sciatica-treatment-hyderabad/,Med,70,
endoscopic spine surgery recovery time,Informational,TOFU,NONE,NONE | TOFU | SPINE | recovery | time,NEW: /blog/endoscopic-spine-surgery-recovery-timeline,Low,60,PAA opportunity
best neurosurgeon in lb nagar,Commercial,BOFU,HYD,HYD | BOFU | NEURO | surgeon | local,PAGE: /,Low,50,Specific location
trigeminal neuralgia treatment,Commercial,MOFU,NONE,NONE | MOFU | NEURO | trigeminal-neuralgia | treatment,PAGE: /conditions/trigeminal-neuralgia-treatment-hyderabad/,Med,65,
awake brain surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | BRAIN | awake-surgery | location,PAGE: /,Low,60,Unique selling point
frozen shoulder vs cervical spondylosis,Informational,TOFU,NONE,NONE | TOFU | SPINE | symptoms | comparison,NEW: /blog/frozen-shoulder-vs-cervical-spondylosis,Low,40,Symptom confusion
endoscopic discectomy cost,Transactional,BOFU,IN,IN | BOFU | SPINE | cost | discectomy,NEW: /blog/cost-of-endoscopic-spine-surgery-hyderabad,Med,80,National intent
spine surgery insurance coverage india,Informational,MOFU,IN,IN | MOFU | SPINE | insurance | coverage,NEW: /blog/cost-of-endoscopic-spine-surgery-hyderabad,Low,70,High value for conversion
